STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
TN,ZOOM CAMERA FOR MOBILE EYE SY,6710DSCAMERA1,8, 200.00 ," $1,600.00 ",11/04/2012
MI,ZOOM CAMERA FOR MOBILE EYE SY,6710DSCAMERA1,2, 200.00 , $400.00 ,17/04/2012
NC,ZOOM CAMERA FOR MOBILE EYE SY,6710DSCAMERA1,2, 200.00 , $400.00 ,24/04/2012
OH,ZOLL DEFIBRILLATOR,6515LDFIB,1, 5000.00 ," $5,000.00 ",18/04/2012
OH,ZOLL DEFIBRILLATOR,6515LDEFIB,1, 5000.00 ," $5,000.00 ",18/04/2012
OH,ZOLL DEFIBRILLATOR,6515LDEFIB,1, 5000.00 ," $5,000.00 ",18/04/2012
OH,ZOLL DEFIBRILLATOR,6515LDEFIB,1, 5000.00 ," $5,000.00 ",03/05/2012
OH,ZOLL DEFIBRILLATOR,6515LDEFIB,1, 5000.00 ," $5,000.00 ",03/05/2012
FL,ZODIAC,191000ZODIAC,1,1000.00," $1,000.00 ",21/12/2011
CA,ZIP DRIVE,702500ZIPDRIV,3,195.00, $585.00 ,07/10/2011
CA,ZIP DRIVE,702500ZIPDRIV,1,500.00, $500.00 ,07/10/2011
GA,ZENITH 60 INCH,773000TV1,1, 400.00 , $400.00 ,12/01/2012
NC,ZEBRA PRINTER ROLLS,7530LABELS,1, 500.00 , $500.00 ,10/07/2012
NC,ZEBRA PRINTER,7035PRINTER,3, 1288.00 ," $3,864.00 ",19/07/2012
NC,ZEBRA PRINTER,7035PRINTER,2, 1288.00 ," $2,576.00 ",10/07/2012
AK,YUKON  FIRE SAFE,7110DSSAFE000,1,800.00, $800.00 ,29/12/2011
GA,"YOKE,TOWING AND LIF",8110008566243,2,492.22, $984.44 ,06/12/2011
AZ,"YOKE,TOWING AND LIF",8110008566243,1,492.22, $492.22 ,21/12/2011
IL,"YOKE ASSY,MAIN ROTO",1615001200480,1, 11011.00 ," $11,011.00 ",02/02/2012
GA,"YOKE ASSEMBLY,AIRCR",4220015625490,25, 533.48 ," $13,337.00 ",29/05/2012
IN,YMAHA ATV,230500ATV,1, 5310.00 ," $5,310.00 ",01/02/2012
KY,YMAHA ATV,230500ATV,1, 5310.00 ," $5,310.00 ",06/03/2012
UT,YH18X67KT55X7 LENS HOT SHOE,6760DSLENS001,1, 1.00 , $1.00 ,15/08/2012
DE,YELLOW TRAFFIC PAINT,8010DSLATEX00,4, 35.55 , $142.20 ,12/03/2012
GU,YELLOW FLAMMABLE LOCKER,712500LOCKER,1, 150.00 , $150.00 ,21/03/2012
CO,YELLOW FIRE FIGHTER HELMETS,8415DSSPCLOTA,21,110.00," $2,310.00 ",16/11/2011
VA,YARDSTICK          ,5210009856610,5, 3.23 , $16.15 ,29/03/2012
AL,YARDAGE PRO,6650DSBINOCUL,11,165.00," $1,815.00 ",10/11/2011
IN,YANKAUER SUCTION,6515DSMEDICAL,4,54.21, $216.84 ,20/12/2011
WV,YAMAHA KEYBOARD PSR 530,77100KEYBOARD,1,500.00, $500.00 ,07/10/2011
IN,YAMAHA DIGITAL MIXER,772000DIGITAL,1,100.00, $100.00 ,01/12/2011
SC,YAMAHA ATV,2340DSATV4WHE,1, 1000.00 ," $1,000.00 ",22/04/2012
SC,YAMAHA ATV,2340DSATV4WHE,1, 1000.00 ," $1,000.00 ",22/04/2012
TX,YAMAHA 70HP OUTBOARD MOTOR,280500MOTOR,1,4500.00," $4,500.00 ",19/10/2011
TN,YALE 6K FORKLIFT PROPANE,393000L009230,1,17000.00," $17,000.00 ",17/10/2011
CO,XXL SILVER FIRE FIGHTER TROUS,8415DSSPCLOTA,1,300.00, $300.00 ,16/11/2011
CO,XXL BLACK FIRE FIGHTER TROUS,8415DSSPCLOTA,2,300.00, $600.00 ,16/11/2011
CO,XXL BLACK FIRE FIGHTER JACKET,8415DSSPCLOTA,3,400.00," $1,200.00 ",16/11/2011
IN,XSM PULLOVER FLEECE,841500NSH1428,3, 42.41 , $127.23 ,16/03/2012
IN,XSM PULLOVER FLEECE,841500NSH1428,2, 42.41 , $84.82 ,16/03/2012
MI,XEROX WORKCENTER,3610P123COPIE,1, 5109.59 ," $5,109.59 ",04/04/2012
MO,XEROX PHASER 7400,7025DSLASERPR,1, 2835.00 ," $2,835.00 ",05/09/2012
IN,XEROX PHASER 6250 COLOR PRINT,7025DSLASERPR,1, 200.00 , $200.00 ,09/01/2012
OH,XENON SYSTEM,653001C143362,1, 9600.00 ," $9,600.00 ",22/03/2012
OH,XBOX GAMES,782000GAMESYS,2, 150.00 , $300.00 ,27/04/2012
ME,X644X41G PRINT CARTRIDGE,7025DSADPSUPL,70, 50.00 ," $3,500.00 ",26/06/2012
ME,X644X41G PRINT CARTRIDGE,7025DSADPSUPL,44, 50.00 ," $2,200.00 ",26/06/2012
ME,X644X41G PRINT CARTRIDGE,7025DSADPSUPL,44, 50.00 ," $2,200.00 ",26/06/2012
NH,X RAY SYSTEM SECURI,6350015770808,1, 29040.00 ," $29,040.00 ",27/06/2012
TX,X RAY SECURITY INSPECTION SYS,6350DSDETECT0,1, 22865.00 ," $22,865.00 ",24/02/2012
CA,X 4 TORQUE MULTI,5120DSTORQUEM,2, 100.00 , $200.00 ,12/01/2012
GA,"WYE,QUICK DISCONNEC",4730013170694,1,30.88, $30.88 ,17/10/2011
IN,WULING TRUCK,2320DSTRUCK00,1,5300.00," $5,300.00 ",06/10/2011
AL,WT LEG CURL MACHINE,783000CURL,1, 2200.00 ," $2,200.00 ",06/08/2012
AL,WT CALF MACHINE,783000CALFMAC,1, 1950.00 ," $1,950.00 ",06/08/2012
AL,WT ARM CURL MACHINE,783000WTARM,1, 1900.00 ," $1,900.00 ",06/08/2012
IN,WRITING BOARDS WALL HANG,7110DSOFFURN0,5, 100.00 , $500.00 ,31/07/2012
IL,WRITER  LABEL,752000WRITER,3, 50.00 , $150.00 ,01/06/2012
NC,WRITE PANEL DEVICE,7025DSADPIODV,1, 542.86 , $542.86 ,11/07/2012
IN,WRITE BOARD ELECTRONIC,702501C073998,1,1500.00," $1,500.00 ",05/12/2011
TX,WRITE BOARD ELECTRIC,702501C023371,1,1515.00," $1,515.00 ",14/12/2011
OH,WRITE BOARD,711001C011423,3, 1000.00 ," $3,000.00 ",07/05/2012
OH,WRITE BOARD,711001C011423,3, 1000.00 ," $3,000.00 ",07/05/2012
TX,"WRINGER,MOP        ",7920006345054,8, 87.81 , $702.48 ,12/07/2012
TX,"WRINGER,MOP        ",7920006826861,6, 56.79 , $340.74 ,12/07/2012
CA,"WRINGER,MOP        ",7920002657056,2, 37.45 , $74.90 ,14/05/2012
CA,"WRINGER,MOP        ",7920006826861,1, 59.62 , $59.62 ,11/01/2012
AZ,WRENCHES,5120DSWRENCH0,15, 14.28 , $214.20 ,24/01/2012
IL,WRENCHES,5120DSTOOLS,1, 150.00 , $150.00 ,07/06/2012
CA,WRENCHES,5120DSHANDT00,30, 3.00 , $90.00 ,25/04/2012
ID,WRENCHCRESCENT24ADJUSTABL,512000WRENCHC,3,98.13, $294.39 ,17/11/2011
ID,WRENCH48PIPE,512000WRENCH4,1,460.00, $460.00 ,17/11/2011
AL,"WRENCH,WHEEL STUD N",5120003784411,1,427.08, $427.08 ,19/11/2011
AL,"WRENCH,WHEEL LUG   ",5120011567296,8, 4.84 , $38.72 ,01/08/2012
KY,"WRENCH,WHEEL LUG   ",5120011567296,5, 4.84 , $24.20 ,10/08/2012
AL,"WRENCH,TORQUE,HYDRA",5130004680849,2,30497.56," $60,995.12 ",31/10/2011
CA,"WRENCH,TORQUE,ELECT",5130015147767,1, 341.86 , $341.86 ,13/04/2012
CA,"WRENCH,TORQUE,ELECT",5130015147768,1, 279.19 , $279.19 ,13/04/2012
GA,"WRENCH,TORQUE      ",5120012417579,2,818.96," $1,637.92 ",01/12/2011
GA,"WRENCH,TORQUE      ",5120012417579,2,818.96," $1,637.92 ",01/12/2011
IN,"WRENCH,TORQUE      ",5120012417579,2, 818.96 ," $1,637.92 ",18/01/2012
AZ,"WRENCH,TORQUE      ",5120002217983,6, 229.80 ," $1,378.80 ",23/04/2012
IN,"WRENCH,TORQUE      ",5120012417578,7, 166.81 ," $1,167.67 ",18/01/2012
TN,"WRENCH,TORQUE      ",5120014745099,1, 1050.40 ," $1,050.40 ",04/05/2012
OH,"WRENCH,TORQUE      ",5120014745099,1,991.38, $991.38 ,29/12/2011
AZ,"WRENCH,TORQUE      ",5120002217983,4, 229.80 , $919.20 ,07/05/2012
GA,"WRENCH,TORQUE      ",5120006406364,8, 114.34 , $914.72 ,25/02/2012
AL,"WRENCH,TORQUE      ",5120012417579,1, 818.96 , $818.96 ,12/01/2012
GA,"WRENCH,TORQUE      ",5120012417579,1,818.96, $818.96 ,02/12/2011
NC,"WRENCH,TORQUE      ",5120012417579,1, 818.96 , $818.96 ,28/06/2012
TN,"WRENCH,TORQUE      ",5120012417579,1, 818.96 , $818.96 ,12/06/2012
MI,"WRENCH,TORQUE      ",5120013551742,2, 397.80 , $795.60 ,20/06/2012
AL,"WRENCH,TORQUE      ",5120002217983,3,244.89, $734.67 ,21/10/2011
AL,"WRENCH,TORQUE      ",5120013966072,2,360.48, $720.96 ,02/12/2011
GA,"WRENCH,TORQUE      ",5120013966072,2,360.48, $720.96 ,01/12/2011
IN,"WRENCH,TORQUE      ",5120013551824,2, 351.36 , $702.72 ,18/01/2012
