Index,Gender,Size,Height
1,F,5.5,60
2,F,6,60
3,F,7,60
4,F,8,60
5,F,8,60
6,F,9,60
7,F,7.5,60
8,F,6.5,60
9,F,5,60
10,F,6,61
11,F,6,61
12,F,6.5,61
13,F,7,61
14,F,7,61
15,F,7.5,61
16,F,8.5,61
17,F,8,61
18,F,6.5,61
19,F,7.5,61
20,F,6,62
21,F,6,62
22,F,6,62
23,F,6,62
24,F,6.5,62
25,F,7,62
26,F,7,62
27,F,7.5,62
28,F,7.5,62
29,F,7.5,62
30,F,7.5,62
31,F,8,62
32,F,7.5,62
33,F,6,63
34,F,6,63
35,F,6,63
36,F,6,63
37,F,6.5,63
38,F,7,63
39,F,7,63
40,F,7,63
41,F,7.5,63
42,F,7.5,63
43,F,8,63
44,F,8.5,63
45,F,9,63
46,F,9,63
47,F,9,63
48,F,6,63
49,F,8,63
50,F,7,63
51,F,6,64
52,F,6,64
53,F,6.5,64
54,F,7,64
55,F,7,64
56,F,7,64
57,F,7,64
58,F,7,64
59,F,7,64
60,F,7,64
61,F,7,64
62,F,7,64
63,F,7.5,64
64,F,7.5,64
65,F,7.5,64
66,F,7.5,64
67,F,8,64
68,F,8,64
69,F,8,64
70,F,8,64
71,F,8,64
72,F,8,64
73,F,8,64
74,F,8,64
75,F,8.5,64
76,F,10,64
77,F,8,64
78,F,9,64
79,F,9.5,64
80,F,6.5,65
81,F,7,65
82,F,7,65
83,F,7.5,65
84,F,7.5,65
85,F,7.5,65
86,F,7.5,65
87,F,7.5,65
88,F,7.5,65
89,F,8,65
90,F,8,65
91,F,8,65
92,F,8,65
93,F,8.5,65
94,F,8.5,65
95,F,8.5,65
96,F,8.5,65
97,F,9,65
98,F,9,65
99,F,9,65
100,F,9,65
101,F,9.5,65
102,F,9.5,65
103,F,9.5,65
104,F,10,65
105,F,10,65
106,F,7.5,66
107,F,7.5,66
108,F,7.5,66
109,F,8,66
110,F,8,66
111,F,8,66
112,F,8,66
113,F,8,66
114,F,8.5,66
115,F,9,66
116,F,9,66
117,F,9,66
118,F,9,66
119,F,9,66
120,F,9,66
121,F,9.5,66
122,F,10,66
123,F,10,66
124,F,10,66
125,F,10,66
126,F,7,67
127,F,7,67
128,F,7.5,67
129,F,8,67
130,F,8,67
131,F,8,67
132,F,8.5,67
133,F,8.5,67
134,F,8.5,67
135,F,8.5,67
136,F,9,67
137,F,9,67
138,F,9,67
139,F,9.5,67
140,F,9.5,67
141,F,9.5,67
142,F,9.5,67
143,F,10,67
144,F,10,67
145,F,10,67
146,F,10,67
147,F,10,67
148,F,11,67
149,F,11,67
150,F,8,68
151,F,8,68
152,F,8,68
153,F,8.5,68
154,F,8.5,68
155,F,8.5,68
156,F,9,68
157,F,9.5,68
158,F,9.5,68
159,F,9.5,68
160,F,9.5,68
161,F,9.5,68
162,F,10,68
163,F,10,68
164,F,10,68
165,F,10,68
166,F,10,68
167,F,10,68
168,F,10,68
169,F,8.5,69
170,F,8.5,69
171,F,10,69
172,F,11,69
173,F,9,70
174,F,10,70
175,F,10,70
176,F,12,70
177,F,10.5,70
178,F,8.5,70.5
179,F,10,71
180,F,10.5,71
181,F,12,71
182,F,8.5,72
183,F,10,72
184,F,11,72
185,F,11,72
186,F,10,74
187,F,11,74
188,M,10.5,63
189,M,9,63
190,M,7.5,64
191,M,8,64
192,M,10,64
193,M,10,64
194,M,8.5,65
195,M,9,65
