,Unnamed: 0,Police_Force_Name,Year,Quarter,Detailed_Offence_Description,Offence_Group,Offence_Subgroup,Number_of_Arrests,Arrests_Ranked,Level_of_Lockdown,Region
0,0,Avon and Somerset,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,South West
109,109,British Transport Police,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,British Transport Police
148,148,Cambridgeshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,East Midlands
282,282,Derbyshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,West Midlands
566,566,Gloucestershire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
726,726,Hertfordshire,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,South East
813,813,Kent,2020,1,Homicide,Violence against the person,Homicide,0,(-0.001. 20.0],High,South East
914,914,Lancashire,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,West Midlands
1146,1146,Metropolitan Police,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,South East
1393,1393,Northumbria,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,North
1594,1594,Staffordshire,2020,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],High,West Midlands
1990,1990,West Midlands,2020,1,Homicide,Violence against the person,Homicide,6,(-0.001. 20.0],High,West Midlands
2062,2062,West Yorkshire,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,East Midlands
2244,2244,Avon and Somerset,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
3857,3857,Cambridgeshire,2020,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],High,East Midlands
4486,4486,Cheshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,West Midlands
4487,4487,Cheshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,West Midlands
5031,5031,Cleveland,2020,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],High,North
5032,5032,Cleveland,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,North
5590,5590,Cumbria,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,North
6079,6079,Derbyshire,2020,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],High,West Midlands
6080,6080,Derbyshire,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,West Midlands
6708,6708,Devon and Cornwall,2020,1,Homicide,Violence against the person,Homicide,5,(-0.001. 20.0],High,South West
6709,6709,Devon and Cornwall,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
7903,7903,Durham,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,North
8555,8555,Dyfed-Powys,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
8556,8556,Dyfed-Powys,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
9022,9022,Essex,2020,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],High,South East
9023,9023,Essex,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South East
10225,10225,Gwent,2020,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],High,South West
