Police_Force_Name,Population,Police Population,,,Region,Population2
Avon and Somerset,1720000,2965,,,South East,22145000
Bedfordshire,665000,1317,,,South West,9937900
British Transport Police,8000000,3113,,,West Midlands,12284002
Cambridgeshire,700000,1671,,,East Midlands,10475600
Cheshire,1000000,2081,,,North,3977308
Cleveland,569000,1274,,,British Transport Police,8000000
Cumbria,500000,1108,,,,
Derbyshire,1000000,1770,,,,
Devon and Cornwall,1790000,2959,,,,
Dorset,774000,1216,,,,
Durham,595308,1168,,,,
Dyfed-Powys,500000,1145,,,,
Essex,1800000,3842,,,,
Gloucestershire,637000,1176,,,,
Gwent,577100,1308,,,,
Hampshire,1990000,3470,,,,
Hertfordshire,1500000,1900,,,,
Humberside,1140200,2050,,,,
Kent,1800000,3929,,,,
Lancashire,1500000,2895,,,,
Leicestershire,1100000,2089,,,,
Lincolnshire,736700,1100,,,,
London. City of,300000,813,,,,
Merseyside,1500000,3662,,,,
Metropolitan Police,8950000,33706,,,,
Norfolk,908000,1490,,,,
North Wales,687800,1450,,,,
North Yorkshire,813000,1357,,,,
Northamptonshire,723000,1278,,,,
Northumbria,1500000,3155,,,,
Nottinghamshire,1034700,2238,,,,
South Wales,1340000,3000,,,,
South Yorkshire,1280000,2897,,,,
Staffordshire,1100000,1942,,,,
Suffolk,745000,1209,,,,
Surrey,1100000,2134,,,,
Sussex,1700000,2800,,,,
Thames Valley,2340000,4250,,,,
Warwickshire,554002,1041,,,,
West Mercia,1190000,2367,,,,
West Midlands,2930000,6846,,,,
West Yorkshire,2108000,4500,,,,
Wiltshire,722000,1019,,,,
Greater Manchester,2700000,6866,,,,
