,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
83650,West Yorkshire,2021,3,Violence against the person,1690,(1600. 1700],East Midlands,Medium
12712,Kent,2020,1,Sexual offences,7,(-0.001. 20.0],South East,High
101807,Metropolitan Police,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
57370,Cumbria,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
21336,South Yorkshire,2020,1,Sexual offences,11,(-0.001. 20.0],East Midlands,High
27905,Wiltshire,2020,1,Criminal damage and arson,6,(-0.001. 20.0],South West,High
18922,Northamptonshire,2020,1,Theft offences,5,(-0.001. 20.0],East Midlands,High
30564,Cheshire,2019,1,Theft offences,1,(-0.001. 20.0],West Midlands,No Lockdown
83973,Wiltshire,2021,3,Criminal damage and arson,1,(-0.001. 20.0],South West,Medium
64416,Derbyshire,2021,3,Criminal damage and arson,87,(80.0. 100.0],West Midlands,Medium
26905,West Midlands,2020,1,Violence against the person,4,(-0.001. 20.0],West Midlands,High
61454,Bedfordshire,2021,3,Sexual offences,2,(-0.001. 20.0],South East,Medium
67278,Essex,2021,3,Drug offences,3,(-0.001. 20.0],South East,Medium
49106,South Wales,2019,1,Public order offences,3,(-0.001. 20.0],South West,No Lockdown
67488,Gloucestershire,2021,3,Theft offences,184,(180.0. 200.0],South West,Medium
84762,Devon and Cornwall,2021,1,Public order offences,55,(40.0. 60.0],South West,Medium
82202,West Mercia,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
45633,North Wales,2019,1,Public order offences,1,(-0.001. 20.0],South West,No Lockdown
89903,Cheshire,2021,1,Violence against the person,8,(-0.001. 20.0],West Midlands,Medium
78201,South Yorkshire,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
45614,North Wales,2019,1,Theft offences,2,(-0.001. 20.0],South West,No Lockdown
75517,North Yorkshire,2021,3,Violence against the person,5,(-0.001. 20.0],North,Medium
38215,Hampshire,2019,1,Theft offences,478,(400. 500],South East,No Lockdown
30631,Cheshire,2019,1,Theft offences,2,(-0.001. 20.0],West Midlands,No Lockdown
54762,West Midlands,2019,1,Criminal damage and arson,11,(-0.001. 20.0],West Midlands,No Lockdown
59252,North Wales,2021,3,Sexual offences,22,(20.0. 40.0],South West,Medium
73229,Merseyside,2021,3,Theft offences,43,(40.0. 60.0],West Midlands,Medium
61179,Avon and Somerset,2021,3,Violence against the person,26,(20.0. 40.0],South West,Medium
5450,Cleveland,2020,1,Public order offences,2,(-0.001. 20.0],North,High
46602,North Yorkshire,2019,1,Theft offences,2,(-0.001. 20.0],North,No Lockdown
61972,British Transport Police,2021,3,Violence against the person,4,(-0.001. 20.0],British Transport Police,Medium
83713,West Yorkshire,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
81460,Thames Valley,2021,3,Violence against the person,3,(-0.001. 20.0],South East,Medium
245,Cleveland,2020,1,Criminal damage and arson,1,(-0.001. 20.0],North,High
74522,Norfolk,2021,3,Theft offences,11,(-0.001. 20.0],East Midlands,Medium
34707,Durham,2019,1,Theft offences,7,(-0.001. 20.0],North,No Lockdown
103588,North Yorkshire,2021,1,Theft offences,3,(-0.001. 20.0],North,Medium
9159,Essex,2020,1,Sexual offences,2,(-0.001. 20.0],South East,High
103798,North Yorkshire,2021,1,Violence against the person,109,(100.0. 120.0],North,Medium
45881,North Wales,2019,1,Sexual offences,3,(-0.001. 20.0],South West,No Lockdown
12960,Kent,2020,1,Criminal damage and arson,3,(-0.001. 20.0],South East,High
80180,Surrey,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
53454,Thames Valley,2019,1,Theft offences,2,(-0.001. 20.0],South East,No Lockdown
72428,Leicestershire,2021,3,Public order offences,17,(-0.001. 20.0],East Midlands,Medium
65422,Dorset,2021,3,Theft offences,55,(40.0. 60.0],South West,Medium
10076,Gloucestershire,2020,1,Sexual offences,1,(-0.001. 20.0],South West,High
23038,Suffolk,2020,1,Violence against the person,2,(-0.001. 20.0],East Midlands,High
50914,Suffolk,2019,1,Violence against the person,19,(-0.001. 20.0],East Midlands,No Lockdown
64989,Devon and Cornwall,2021,3,Public order offences,1,(-0.001. 20.0],South West,Medium
109952,Thames Valley,2021,1,Violence against the person,14,(-0.001. 20.0],South East,Medium
5043,Cleveland,2020,1,Violence against the person,143,(140.0. 160.0],North,High
16354,Metropolitan Police,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
31055,Cheshire,2019,1,Drug offences,2,(-0.001. 20.0],West Midlands,No Lockdown
72494,Lincolnshire,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
87635,Avon and Somerset,2021,1,Theft offences,2,(-0.001. 20.0],South West,Medium
91621,Devon and Cornwall,2021,1,Violence against the person,97,(80.0. 100.0],South West,Medium
