Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
14cc7fc27fd8b0e2145e65538bb8cc7536aeeac985ca2f0f67debfd6f5c84473,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.580059,51.459057,On or near WADE STREET,E01033358,Bristol 054D,Unable to prosecute suspect
b153188684f89270880aa9a05717202ccb008a61528d0d3a5714bc7c9dfea00d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.788122,51.168851,On or near MILLBATCH,E01029054,Mendip 012B,Unable to prosecute suspect
3b9c4e0dca1cb7433094e1306024649053c1d78ec7d3c148e57307ba83a9663a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Action to be taken by another organisation
4c7c008e77dc3b163465f87523207a1647444d6a2bb1208e39c459af1a9aa9e1,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
993b11eb1e31f9fb804b8f4229acb10ec6ad450db84825a66f3fecc5721fc536,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
e1360c654bd8c273f52ab035785dbcaa87bcaea14ee76fa81f799dc7e96cd128,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
3363f225bacd935588242fe9fc4e9971192f5e7b132b4603e3b74eee0cf832c7,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
fc91b53cd86aaed4ab8051f92242a0aeedbe63eaf92fcaa2def00d0155dc11bb,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ea1be0455390f8ac4f7df9f317fda89dcf23a1f263fc3b0df227ed62a06bdb27,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7f6706744f5d7d31f6b02986f2b09713649805146e7f44539a45c9c23d8e8c43,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
78885c9873d91ada72c69f642d07ae89de3f8513d5ecbb122fa710194ccd3745,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1ced28a8e5d76eb3a9d46a7c29a9c78e906f5ae18b6f645771913d075a9a070a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
c6c1cc97b66c0f0439f016c130e5bae11697f28544bcc167887dcf84babd4147,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
189199667974e84bb953d6c508cc989ba27325f53989ef2b0d02efce7ea692d0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
77fae2114bc9745598945ed372f430d8f9379b92a10e3d23683ed7c548020239,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
0afd1de590b1dfe3d07399f5815f13e3ee795b4ef5ed9a4e2f87574797d909e6,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8bb55e48058debd6474c700938ade9edcf9491bb6bf1511f833f889b6fe36f6d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
020c976c7ccaf6b7d1cca81b60ef55b8bbba7016897e63bfcb7a06f73c6413e5,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ef6b10c6ec0c85a74c53e8b078b6092e3598aa55a3dea375443e64270a666e6a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
416df697c46e50a54f8fbd90d1789e12756a4092d9d6e2268aa41026d2fcd003,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
f0d95452d9b513dbb27ed507e9c1dfd35e2cc334cc45ceba166faf50d3a2b40a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
7597ceb4b5aeaea309f1fd8f96e13f314b12d31a0d6c2b2242353d6a4fa58522,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
92ea61ed24801350655e1ea88c8bdc9ffedbb2c7bb8800904a2d4655de504da4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f6bf59b728cc0f97b200a9dc8cb63d5706125a55b65d15920087116dbce09d93,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.652254,51.204037,On or near A39,E01029081,Mendip 008D,Offender given a caution
c5c17e141a1125f6f6de101d0eb66e8e5e0f33292f7b45831148d25047167354,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c5c17e141a1125f6f6de101d0eb66e8e5e0f33292f7b45831148d25047167354,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
69c94aa438d283214a8f5e6f391d08287fd849bad1bf044fbfe550745cf1fe20,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
eefa0373f032d10b51c079e163a35cb6e5404abdf743aae34a43bcc48126eea9,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
2ce2595857dec1a09fa3c3de55ff682daa9d6cc12912c7f832cf8ee763cbfd03,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
003fc24b6886b34c3d81e4f86e4ed77964185c6b1b4b641013793441097fe868,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a843fa0777a40636f2d5ca386a5eb2945567bbfbc397d76abf3cc9e495f64c87,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
75144373757524be021f09fac4d2fea068ea6e26e8917d201db96f760337eaa2,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
5ebf5022e83a831c78522814ce08a75db55eca03248ada51d97200be0dd4d996,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9ab1ac11a44ef1657b749b4d5f6f054d68441f35c55a4c7e698b92c4b9f6b955,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ed6e0f9127ff6e6553138005819eff0328857298822546ab61630bc86fd3e9de,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
98de6872c83ef6ad21e52ebc3baaf3ca1de547d709a67b7f84c552b87c762eff,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f19eedbd2b24145f864950051e241b38e9f0bc6c798ec1dd0ba81bd9277f5c7a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7241b2758423114748ff4cb87fa1fae0900ece5e46d83cf5626a0eca6e5a6822,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.569414,51.460647,On or near POUNTNEY DRIVE,E01014653,Bristol 055B,Suspect charged
931c52ab1aceb7cca7cbfe679ef0f53ce0dbac052b44359f37ddaa823c7d2298,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
50a91f9cc416fa02768ee9faaba4f7abb148010de893faaa6723d5042bc74d2d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
9a12077941e185f0d58ba171ef249f339383960962405d37421132a9959e7774,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
64b950042887ab0c3b42b8718451d05e8eedbf38b57eb808acb98378956af713,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6c53780969d99778b3a6735e95f8cd8eff6aca8d51ea6e3bde51197289a4b8e8,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
3c211df3b097212c24eb1f87017beda46ec01df9543923c7d69bc05ed0ea3baa,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8d25317fe915ef70989445569c90b1fbdd8e3470141131fce9349ba03fa66523,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
3942535cfbeb7cda031f8ac849f24f2c6423d0a1fcf1ffc6cd40f87ccecbeec7,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
980a337338edc322251e824ed412a06d840a1d069da4adbe2f08d54abe0204d8,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
018c65f59f61fda48cf7fc6c0c7d26f7a7b6641b72fc4d8e33945a05b1f75038,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
018c65f59f61fda48cf7fc6c0c7d26f7a7b6641b72fc4d8e33945a05b1f75038,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
20328b89c52590017108c9cbca7c7c489e719fd679a3139c906322fa41f5c15b,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
f6dc0f72747cb74210a24f15552eeb422a4c6a15e9e5a917a14716a198bef4d6,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ed5a648ca613c8c3ec3d0f239b375c69bca4ecbef140ce05c8af1f37e45c702f,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
66c503e6e3d35aa3d041cac223553b53ac2bf61d7d5dd27bc7ad965236d66322,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f0fa88377caf6423605c3b893a5b913d62d9b904bf8c9fa2e0df3aae015490d0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
70a9338ab06010933701b62181348db66293f7a4fe06dcc4339431eea41f4afc,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
04cb66054951b796c407e828f585de26984fcab6e5e47c5f7afd55b1dd3f9a4b,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
2f10c8ff0a9a8eeb6cb55143a422fdcf2848f81e1cc9aae703a9a4868dd832d5,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
e05aa1c5da31ee987614a9494c4171cc071ef2ad84a3acad8eb594abc8d72432,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
67881532da0ec8388a3c69f3a98fed407a67e846251cc68c1185d39b8ad9e5c4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
fb2a0d34e6aec0292ba3510932a62d29532dac666cce9afa31f0a507a706cdcf,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d54bde8e8286706c2d2428c57e2fe890dd3833968e477b170ba8e015e249c71a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
44650d76016064e2d49e4d2bf0ef2e872e671f1dec7a3b654b55026be1561596,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
990395ad4a1da8f6aaa86b74f1c026b73fa0c64feb48960e4c477c1b3e9567ef,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
77967de24cc39a699336cd97689d74cb2b9605bd3f8ff6b4028c7a25123a9e5e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
01068f58ba2049d060409312cacf693910527854c32a3f4947f224748f9797c3,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9560629753a3f86fea5d9b0309435dd4e09126bcd7b1c24f8967d6c76629a20d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ea7b122206fc74576f21675f2dfad03b89d6bea09e7d1b66e63b7ba44a7a5562,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
db159bb1000c32fefc108cbcfac176808b3eed153738d47cc8ceb3b1ab7476ca,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
93cb6f5d3786fa72383f86929754ba915d68b82b1c902f381b411761600cb6c0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a05481f5074008a4094b5dbef0cef65f1b9b9e506f5339b7f0d9ae0bfbec2f5d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
45d84d562d17d3e6f27bdb1e53db9d5fcfed2f48d33facc4e2721be7b93fa24a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
597581e8984432e744c7a4d33e99b54e8884688482c15ee972ad2561a2b315e6,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
92967afe641454fc0fdf4bc085588afb2563f482a3ddaa4ae536921b70fc8b96,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6982753902a7ffef0d44192a2a058dace253d46e9c70142b9b121da502765f13,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
8050adffd4ce67c544abc44cc8b6feb24d5133d39dea99ece9cca165e63a04b0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
202fdedc78814bfba05a5053d1c4f71c644e65038b3343823c2893c67df7013e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
876bfcec4854ba7689c65a42721e7869e392b68c4c52bffa214cec6f84b8767c,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ff3286db143c52faefbe2f654bcbb938ed51d709e4fbd16aea1f6465f68b136e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5ddee9649796b6325191f33635c0085e1fd9078cffefd26450f1d8315054674e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
be5212e2d0ea8a3167a2afc174a3cefefc8e2c72d8df1a28e5a06ea951ef8441,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ddf2fcea6ad197bd04cfa6574355a4f85bbf218be94eb2ec8cee8071e4bafc8e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
cf5ed942affd43388237293604f7785d1cd5c4c97188767ba2b9fff40dccadcc,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
b3c16b4a6bcbc34d48ea00bed0ea265e2825840a450ef0d3a86f1e6f96bbd360,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
9b5635b2080af5092f93a7cc997588874f1ee35aa128e9448a80636d127f6567,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f96a44ad1e354e11e99ffcb3ef3ebe970426215ec14419c9a2abc9267bcb22a1,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
dbadca2a5cd49a1700abadddd9358c756593f69de776713f8dd792900e9562fa,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
9892e28a1f824d37b6b2ec571f4249ef310c7e567224df73e73847a5f7bd9545,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
848e91f0fafacc60117e3b1022ac0255f8ba446ee9ed91201e14a7be61bb0d9f,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
21223079e304fc4e56774b2022e449e3ff7a8fb2953e73428627f1314ce85439,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
006e108cde147a0ddcad6db6ae4bbae7efffa6185c9152f53decbcef4fa18608,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f382b627b48e2318d8ed5f463dcc8077cfa94b8f135b5574fa7310de5357ddec,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7903e4a3f922f86cd1d73d3353e7c452d5612f14a422bd9dd8bebc5ae0e1af3d,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f05f697ecef41e2356e726c311a80722cb7661fc49c93d8856d15c5289988eb4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
ee328ebb258f410c2a03eea16ace73d71b07473d7b79098f94e68e8d0435056a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7c86fb4d092176344106e9a0aed4617b506344e893fba0008beb90af2ca1b2a9,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1e5af1594a48ec636b43fcd3ee580b2f83e83e3a3b4c75b0aee5fc4ee25cecc0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1a50ad456c3d152cef7cacf8c51c35b15ab2454f609f9cb93f59ee112f032f61,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
24849e24051104e356c31621e43252da67815849d340d276644c4def37a9c0e4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8cae6136f8b820ec17e859eeb7f314ac45fa462cef81c756fd2e45fb6840ff60,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
010b9b082a8097efd6a4f36e6a16c30cbc9787df2f78a6cb5476290ad859ab14,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6ecdc7e4fe8b2713c7e119ee8590cd49c0538fc299d2bbb32a6b5f074a5852a0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
cd99ff025c47227e01c4da2dd726e18498b5f9ddbbf4b4ae8ccc590110b7503e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1f01b83813cfd844960003bffd171109caeff7843ea6663b56d9d9fc4b338dc9,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
ecc2b7808cae4cee8c070b431303cbe080b8dc7b8eeacc082086cf7f6ac53b37,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further action is not in the public interest
a055e4d037628bd6bb20ce3e6320563190be11bf3e0f72e0c5d604311f70676a,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c52cd9b20143b676db3ac70c2d459cb437fb0d0cd42a8289665f315b01f2a848,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
