Year,Gender,Offence,Prison Population
2019,Females,Offence not recorded,23
2019,Males,Possession of weapons,2779
2019,Females,Drug offences,408
2019,Males,Drug offences,10712
2019,Females,Possession of weapons,89
2019,Males,Public order offences,1178
2019,Females,Criminal damage and arson,85
2019,Males,Criminal damage and arson,1062
2019,Females,Public order offences,
2019,Males,Miscellaneous crimes against society,2664
2019,Females,Theft Offences,553
2019,Males,Theft Offences,8023
2019,Females,Miscellaneous crimes against society,158
2019,Males,Fraud Offences,972
2019,Females,Robbery,349
2019,Males,Robbery,6961
2019,Males,Offence not recorded,188
2019,Females,Summary motoring,6
2019,Males,Summary Non-Motoring,2453
2019,Females,Sexual offences,122
2019,Males,Sexual offences,12841
2019,Females,Summary Non-Motoring,180
2019,Males,Violence against the person,19006
2019,Females,Fraud Offences,151
2019,Males,Summary motoring,365
2019,Females,Violence against the person,938
2020,Males,Summary Non-Motoring,2563
2020,Females,Offence not recorded,6
2020,Males,Offence not recorded,85
2020,Males,Public order offences,951
2020,Females,Public order offences,41
2020,Males,Summary motoring,304
2020,Males,Miscellaneous crimes against society,2210
2020,Females,Miscellaneous crimes against society,100
2020,Males,Fraud Offences,634
2020,Females,Possession of weapons,69
2020,Females,Summary Non-Motoring,179
2020,Females,Summary motoring,4
2020,Females,Fraud Offences,106
2020,Males,Possession of weapons,2246
2020,Males,Criminal damage and arson,944
2020,Females,Robbery,276
2020,Females,Sexual offences,107
2020,Males,Theft Offences,6480
2020,Females,Theft Offences,340
2020,Males,Sexual offences,11657
2020,Females,Violence against the person,878
2020,Males,Robbery,6388
2020,Males,Drug offences,9621
2020,Males,Violence against the person,18519
2020,Females,Drug offences,344
2020,Females,Criminal damage and arson,99
2021,Males,Offence not recorded,113
2021,Males,Sexual offences,12005
2021,Females,Robbery,258
2021,Females,Sexual offences,125
2021,Females,Offence not recorded,3
2021,Females,Summary motoring,5
2021,Males,Summary motoring,302
2021,Females,Violence against the person,896
2021,Males,Robbery,5890
2021,Males,Possession of weapons,2272
2021,Males,Theft Offences,5706
2021,Males,Summary Non-Motoring,2515
2021,Females,Possession of weapons,65
2021,Females,Theft Offences,314
2021,Females,Fraud Offences,108
2021,Males,Fraud Offences,582
2021,Males,Criminal damage and arson,966
2021,Females,Criminal damage and arson,90
2021,Females,Miscellaneous crimes against society,114
2021,Males,Miscellaneous crimes against society,2145
2021,Males,Drug offences,10205
2021,Females,Drug offences,338
2021,Females,Public order offences,533
2021,Males,Public order offences,1116
2021,Females,Summary Non-Motoring,171
2021,Males,Violence against the person,19030
