Area,Age,Sex,Usual Residents,BirthCountry,BirthRegion
Barking and Dagenham,Age 0 to 4,Females,10,Ghana,Africa
Barking and Dagenham,Age 5 to 9,Females,17,Ghana,Africa
Barking and Dagenham,Age 10 to 15,Females,45,Ghana,Africa
Barking and Dagenham,Age 16 to 19,Females,30,Ghana,Africa
Barking and Dagenham,Age 20 to 24,Females,67,Ghana,Africa
Barking and Dagenham,Age 25 to 29,Females,143,Ghana,Africa
Barking and Dagenham,Age 30 to 34,Females,263,Ghana,Africa
Barking and Dagenham,Age 35 to 39,Females,228,Ghana,Africa
Barking and Dagenham,Age 40 to 44,Females,191,Ghana,Africa
Barking and Dagenham,Age 45 to 49,Females,174,Ghana,Africa
Barking and Dagenham,Age 50 to 54,Females,104,Ghana,Africa
Barking and Dagenham,Age 55 to 59,Females,73,Ghana,Africa
Barking and Dagenham,Age 60 to 64,Females,28,Ghana,Africa
Barking and Dagenham,Age 65 to 69,Females,16,Ghana,Africa
Barking and Dagenham,Age 70 to 74,Females,10,Ghana,Africa
Barking and Dagenham,Age 75 to 79,Females,3,Ghana,Africa
Barking and Dagenham,Age 80 or over,Females,2,Ghana,Africa
Barking and Dagenham,Age 0 to 4,Males,2,Ghana,Africa
Barking and Dagenham,Age 5 to 9,Males,18,Ghana,Africa
Barking and Dagenham,Age 10 to 15,Males,42,Ghana,Africa
Barking and Dagenham,Age 16 to 19,Males,32,Ghana,Africa
Barking and Dagenham,Age 20 to 24,Males,75,Ghana,Africa
Barking and Dagenham,Age 25 to 29,Males,80,Ghana,Africa
Barking and Dagenham,Age 30 to 34,Males,203,Ghana,Africa
Barking and Dagenham,Age 35 to 39,Males,193,Ghana,Africa
Barking and Dagenham,Age 40 to 44,Males,192,Ghana,Africa
Barking and Dagenham,Age 45 to 49,Males,148,Ghana,Africa
Barking and Dagenham,Age 50 to 54,Males,136,Ghana,Africa
Barking and Dagenham,Age 55 to 59,Males,85,Ghana,Africa
Barking and Dagenham,Age 60 to 64,Males,31,Ghana,Africa
Barking and Dagenham,Age 65 to 69,Males,19,Ghana,Africa
Barking and Dagenham,Age 70 to 74,Males,7,Ghana,Africa
Barking and Dagenham,Age 75 to 79,Males,3,Ghana,Africa
Barking and Dagenham,Age 80 or over,Males,3,Ghana,Africa
Barking and Dagenham,Age 0 to 4,Females,0,Kenya,Africa
Barking and Dagenham,Age 5 to 9,Females,4,Kenya,Africa
Barking and Dagenham,Age 10 to 15,Females,18,Kenya,Africa
Barking and Dagenham,Age 16 to 19,Females,33,Kenya,Africa
Barking and Dagenham,Age 20 to 24,Females,31,Kenya,Africa
Barking and Dagenham,Age 25 to 29,Females,39,Kenya,Africa
Barking and Dagenham,Age 30 to 34,Females,57,Kenya,Africa
Barking and Dagenham,Age 35 to 39,Females,88,Kenya,Africa
Barking and Dagenham,Age 40 to 44,Females,87,Kenya,Africa
Barking and Dagenham,Age 45 to 49,Females,45,Kenya,Africa
Barking and Dagenham,Age 50 to 54,Females,39,Kenya,Africa
Barking and Dagenham,Age 55 to 59,Females,28,Kenya,Africa
Barking and Dagenham,Age 60 to 64,Females,15,Kenya,Africa
Barking and Dagenham,Age 65 to 69,Females,16,Kenya,Africa
Barking and Dagenham,Age 70 to 74,Females,8,Kenya,Africa
Barking and Dagenham,Age 75 to 79,Females,3,Kenya,Africa
Barking and Dagenham,Age 80 or over,Females,0,Kenya,Africa
Barking and Dagenham,Age 0 to 4,Males,1,Kenya,Africa
Barking and Dagenham,Age 5 to 9,Males,4,Kenya,Africa
Barking and Dagenham,Age 10 to 15,Males,32,Kenya,Africa
Barking and Dagenham,Age 16 to 19,Males,26,Kenya,Africa
Barking and Dagenham,Age 20 to 24,Males,20,Kenya,Africa
Barking and Dagenham,Age 25 to 29,Males,25,Kenya,Africa
Barking and Dagenham,Age 30 to 34,Males,29,Kenya,Africa
Barking and Dagenham,Age 35 to 39,Males,54,Kenya,Africa
Barking and Dagenham,Age 40 to 44,Males,47,Kenya,Africa
Barking and Dagenham,Age 45 to 49,Males,42,Kenya,Africa
