Date,Area,Code,Detached,Semi,Terraced,Flat
01/09/2016,Hartlepool,E06000001,179323.3934,108357.4457,77192.90613,62078.20672
01/10/2016,Hartlepool,E06000001,178880.9745,107765.1346,76294.05974,61893.84174
01/11/2016,Hartlepool,E06000001,179855.0608,107886.9468,76066.73993,61909.33647
01/12/2016,Hartlepool,E06000001,182847.8194,109312.3743,77019.16134,62919.44401
01/01/2017,Hartlepool,E06000001,177454.1433,105828.3642,74522.2753,60770.80795
01/02/2017,Hartlepool,E06000001,172963.8263,103101.0761,72833.9604,59591.26472
01/03/2017,Hartlepool,E06000001,172013.2461,102520.2833,72261.07142,59212.9076
01/04/2017,Hartlepool,E06000001,174921.1234,104315.3747,73702.2326,60425.80637
01/05/2017,Hartlepool,E06000001,182808.4028,109570.9244,77281.3139,63455.60485
01/06/2017,Hartlepool,E06000001,182850.5209,109947.0048,77773.13434,63612.01761
01/07/2017,Hartlepool,E06000001,186030.1497,112168.0127,79436.27053,65007.8417
01/08/2017,Hartlepool,E06000001,180648.8698,108645.9378,77205.69587,62699.5758
01/09/2017,Hartlepool,E06000001,179644.2542,107678.375,76508.05872,62081.11571
01/10/2017,Hartlepool,E06000001,178160.6029,106649.2853,75598.34037,61066.78104
01/11/2017,Hartlepool,E06000001,180958.7034,108365.0845,76542.97515,61750.52052
01/12/2017,Hartlepool,E06000001,186281.8481,111986.103,79122.74794,63708.02897
01/01/2018,Hartlepool,E06000001,184898.3649,111206.6851,78430.86984,63241.91383
01/02/2018,Hartlepool,E06000001,178664.0093,107066.7527,75516.73579,61066.82603
01/03/2018,Hartlepool,E06000001,172232.4111,102942.4328,72561.18041,58604.52682
01/04/2018,Hartlepool,E06000001,174942.8515,104657.0064,73985.80221,59396.86395
01/05/2018,Hartlepool,E06000001,180177.0908,108329.8832,76670.01505,61010.76143
01/06/2018,Hartlepool,E06000001,180467.3565,108836.6059,76854.22792,61183.63764
01/07/2018,Hartlepool,E06000001,180836.5829,108917.0807,76843.00978,61116.82158
01/08/2018,Hartlepool,E06000001,185097.4799,111425.6051,78556.85679,62421.33311
01/09/2018,Hartlepool,E06000001,187127.2876,112386.9881,79286.91217,62722.44809
01/10/2018,Hartlepool,E06000001,189834.2256,113946.8952,80374.89864,63701.45444
01/11/2018,Hartlepool,E06000001,190391.5823,114231.6853,80443.37768,63690.18314
01/12/2018,Hartlepool,E06000001,196538.4725,118136.9021,83186.1192,66160.60289
01/01/2019,Hartlepool,E06000001,192025.3131,115333.4164,80912.23255,64281.01316
01/02/2019,Hartlepool,E06000001,185169.7504,110916.8897,77737.21118,62010.18185
01/03/2019,Hartlepool,E06000001,177516.5767,106275.2112,74154.68888,58935.49172
01/04/2019,Hartlepool,E06000001,179679.0595,107899.9579,75415.84242,59582.29156
01/05/2019,Hartlepool,E06000001,182623.3486,110216.5716,77030.91949,60518.15365
01/06/2019,Hartlepool,E06000001,188093.7921,113676.1134,79521.7268,62321.32249
01/07/2019,Hartlepool,E06000001,188241.4833,113691.1434,79665.75298,62342.95433
01/08/2019,Hartlepool,E06000001,189770.6225,114116.2155,79951.87668,62159.99536
01/09/2016,Middlesbrough,E06000002,183499.1594,108784.5035,78253.11303,66397.50123
01/10/2016,Middlesbrough,E06000002,183095.3363,108030.308,77222.04097,65994.44543
01/11/2016,Middlesbrough,E06000002,185292.1387,108724.2469,77414.19911,66356.0785
01/12/2016,Middlesbrough,E06000002,193759.3783,113177.64,80569.67939,69270.4662
01/01/2017,Middlesbrough,E06000002,190033.6327,110535.7195,78724.13157,67656.00967
01/02/2017,Middlesbrough,E06000002,193240.1057,112328.8347,80303.50913,69343.31819
01/03/2017,Middlesbrough,E06000002,189953.4827,110329.8012,78693.69348,68137.75465
01/04/2017,Middlesbrough,E06000002,192898.9983,112489.7197,80346.8639,69794.37844
01/05/2017,Middlesbrough,E06000002,189873.283,111337.5535,79331.14283,68954.06529
01/06/2017,Middlesbrough,E06000002,187817.175,110893.1088,79187.03732,68879.98761
01/07/2017,Middlesbrough,E06000002,187695.9901,111107.0273,79505.65683,69163.06963
01/08/2017,Middlesbrough,E06000002,187099.286,110814.5223,79526.30415,68922.24334
01/09/2017,Middlesbrough,E06000002,191117.8801,112636.1726,80877.03206,69883.41893
01/10/2017,Middlesbrough,E06000002,194092.8958,114109.322,81601.69812,70341.80652
01/11/2017,Middlesbrough,E06000002,195972.2258,115170.1437,82077.43548,70832.80274
01/12/2017,Middlesbrough,E06000002,197448.7457,116506.9584,82972.53824,71523.08774
01/01/2018,Middlesbrough,E06000002,193602.7691,114107.294,81175.58555,70086.16229
01/02/2018,Middlesbrough,E06000002,194107.2098,113329.9004,80582.56806,69244.70163
01/03/2018,Middlesbrough,E06000002,188449.4309,109288.431,77788.1291,66644.286
01/04/2018,Middlesbrough,E06000002,187501.3511,108707.4276,77608.66265,65932.60055
01/05/2018,Middlesbrough,E06000002,185783.1947,108482.1709,77682.76354,65714.24686
01/06/2018,Middlesbrough,E06000002,192613.6068,112891.0145,80620.94683,68311.19697
01/07/2018,Middlesbrough,E06000002,195242.2776,114478.78,81719.20818,69313.90788
01/08/2018,Middlesbrough,E06000002,193949.1389,113653.9551,81020.1042,68689.85507
01/09/2018,Middlesbrough,E06000002,188897.8832,110454.4146,78869.6946,66570.2134
01/10/2018,Middlesbrough,E06000002,189538.6155,110629.5729,78970.15746,66586.02698
01/11/2018,Middlesbrough,E06000002,190018.251,110956.3652,79136.63543,66726.38851
01/12/2018,Middlesbrough,E06000002,194064.3997,113491.879,80861.55703,68358.16291
01/01/2019,Middlesbrough,E06000002,191290.8958,111889.0417,79341.17078,67169.07112
01/02/2019,Middlesbrough,E06000002,192219.7836,111923.496,79185.98097,67051.87024
01/03/2019,Middlesbrough,E06000002,188395.8203,109700.4869,77228.86464,65152.42451
01/04/2019,Middlesbrough,E06000002,190925.0901,111441.0189,78614.85148,65959.27395
01/05/2019,Middlesbrough,E06000002,194175.8401,114084.5425,80468.10597,67210.2699
01/06/2019,Middlesbrough,E06000002,192926.0044,113642.483,80241.30024,67023.8206
01/07/2019,Middlesbrough,E06000002,194897.7165,114758.0189,81198.47958,67675.65022
