Station,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H00,H01
Acton Town,142,447,1079,1444,756,447,412,400,392,404,621,712,743,594,327,204,143,115,87,38,8
Aldgate,39,190,615,1310,817,374,363,468,512,544,776,1528,3109,2187,862,458,351,248,171,49,0
Aldgate East,61,204,597,1354,1185,892,845,946,1071,1101,1363,1953,3237,2787,1395,953,829,656,513,181,6
Alperton,118,402,711,636,303,195,167,172,181,175,187,240,328,252,155,94,75,62,32,9,0
Amersham,79,400,1108,719,226,132,108,95,84,86,183,239,208,103,40,25,26,19,10,3,0
Angel,39,304,979,2013,1455,822,978,1237,1331,1438,1883,2764,3826,3350,1897,1506,1383,1550,1177,363,4
Archway,79,488,1516,2721,1732,857,712,688,632,597,737,988,1111,810,500,351,234,204,140,52,16
Arnos Grove,147,506,1010,1384,748,407,337,317,277,262,303,364,469,378,207,110,89,62,35,10,2
Arsenal,24,133,537,1120,614,235,193,199,177,155,167,201,273,213,126,62,48,41,33,15,3
Baker Street,114,509,1892,3544,2091,1566,1708,2152,2407,2541,3185,4387,6236,5371,2946,2014,1573,1181,910,368,30
Balham,119,1072,3375,4943,2578,1010,799,743,698,636,738,941,1304,1272,789,461,352,315,240,77,23
Bank & Monument,83,890,2687,4430,3708,2530,2922,3926,4049,4522,5689,10005,21680,19738,10175,5304,3878,2961,2107,661,82
Barbican,23,107,283,611,570,503,614,809,919,1010,1378,2347,3736,2951,1455,893,880,945,436,89,0
Barking,1300,3617,4033,3982,2291,1374,1153,1073,1075,1092,1233,1616,1936,1388,858,566,471,337,124,32,2
Barkingside,113,374,512,579,190,104,79,75,68,60,112,100,128,74,44,22,17,15,7,0,0
Barons Court,45,258,996,2028,1031,513,459,544,498,499,691,962,1359,969,442,291,230,136,88,22,9
Bayswater,37,100,303,590,702,602,411,336,339,364,398,438,490,456,344,283,247,231,200,48,0
Becontree,323,935,1003,960,494,284,245,208,186,185,219,241,245,200,112,82,70,38,19,4,0
Belsize Park,23,185,629,1403,918,510,490,536,506,498,667,1005,1196,828,485,373,209,148,125,42,5
Bermondsey,126,612,1481,2411,1582,710,568,545,533,577,795,1109,1460,1429,789,521,412,317,222,88,14
Bethnal Green,111,643,1691,2772,2259,1269,1076,1039,1058,1108,1337,1624,1906,1804,1142,745,649,669,484,183,40
Blackfriars,34,302,1042,2256,1568,782,728,870,896,945,1283,2170,4524,4045,1942,1033,730,584,422,120,0
Blackhorse Road,340,1343,2280,2867,1669,722,551,489,464,435,479,605,738,570,355,208,164,136,80,25,6
Bond Street,80,204,457,802,1000,1263,1768,2507,3124,3644,4337,5943,9586,9458,5574,3912,3156,2342,1360,513,57
