AuthorityCode,AuthorityName,RegionCode,RegionName
E06000001,Hartlepool,E12000001,North East
E06000002,Middlesbrough,E12000001,North East
E06000003,Redcar and Cleveland,E12000001,North East
E06000004,Stockton-on-Tees,E12000001,North East
E06000005,Darlington,E12000001,North East
E06000006,Halton,E12000002,North West
E06000007,Warrington,E12000002,North West
E06000008,Blackburn with Darwen,E12000002,North West
E06000009,Blackpool,E12000002,North West
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber
E06000014,York,E12000003,Yorkshire and The Humber
E06000015,Derby,E12000004,East Midlands
E06000016,Leicester,E12000004,East Midlands
E06000017,Rutland,E12000004,East Midlands
E06000018,Nottingham,E12000004,East Midlands
E06000019,"Herefordshire, County of",E12000005,West Midlands
E06000020,Telford and Wrekin,E12000005,West Midlands
E06000021,Stoke-on-Trent,E12000005,West Midlands
E06000022,Bath and North East Somerset,E12000009,South West
E06000023,"Bristol, City of",E12000009,South West
E06000024,North Somerset,E12000009,South West
E06000025,South Gloucestershire,E12000009,South West
E06000026,Plymouth,E12000009,South West
E06000027,Torbay,E12000009,South West
E06000028,Bournemouth,E12000009,South West
E06000029,Poole,E12000009,South West
E06000030,Swindon,E12000009,South West
E06000031,Peterborough,E12000006,East of England
E06000032,Luton,E12000006,East of England
E06000033,Southend-on-Sea,E12000006,East of England
E06000034,Thurrock,E12000006,East of England
E06000035,Medway,E12000008,South East
E06000036,Bracknell Forest,E12000008,South East
E06000037,West Berkshire,E12000008,South East
E06000038,Reading,E12000008,South East
E06000039,Slough,E12000008,South East
E06000040,Windsor and Maidenhead,E12000008,South East
E06000041,Wokingham,E12000008,South East
E06000042,Milton Keynes,E12000008,South East
E06000043,Brighton and Hove,E12000008,South East
E06000044,Portsmouth,E12000008,South East
E06000045,Southampton,E12000008,South East
E06000046,Isle of Wight,E12000008,South East
E06000047,County Durham,E12000001,North East
E06000049,Cheshire East,E12000002,North West
E06000050,Cheshire West and Chester,E12000002,North West
E06000051,Shropshire,E12000005,West Midlands
E06000052,Cornwall,E12000009,South West
E06000053,Isles of Scilly,E12000009,South West
E06000054,Wiltshire,E12000009,South West
E06000055,Bedford,E12000006,East of England
E06000056,Central Bedfordshire,E12000006,East of England
E06000057,Northumberland,E12000001,North East
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West
E06000059,Dorset,E12000009,South West
E08000001,Bolton,E12000002,North West
E08000002,Bury,E12000002,North West
E08000003,Manchester,E12000002,North West
E08000004,Oldham,E12000002,North West
